category,location,name,website,phone,address,rating,emails
real estate agents,mumbai,The Prestige City,,022 6901 6651,,4.1,
real estate agents,mumbai,Urban Palace Kharghar - Life in X'cess,,,73/1/A Vastu Park Road,5.0,
real estate agents,mumbai,Walk 2 Dreams Home LLP - The Real Estate Agency In Mumbai.,https://walk2dreamshomellp.com/,099200 48811,"1st Floor Office No. 18, Shreeji Plaza",5.0,bootstrap@5.3.5;bootstrap-icons@1.11.1;bootstrap@5.3.0
real estate agents,mumbai,Nivom Realty | Real Estate Agency In Mumbai,https://nivomrealty.com/,098049 80980,"Shop No. 27, ground Floor, J 2 building",4.8,
real estate agents,mumbai,Wave Property -Real Estate Agency & Consultants Mumbai | Luxury Homes Andheri In Mumbai,https://www.waveproperty.in/,,"Shop no 1,Fatima Building ,Near Markaj Masjid,S.V Road, Road, 16th Rd",4.9,
real estate agents,mumbai,Happy Homes - Mr. D Mehta Property Consultants & Brokers in Vile Parle Juhu,,099302 07780,"Unit no 1, florich apt, passage road",4.9,
real estate agents,mumbai,"A and Z Realtors® Mindspace ,Malad west - best real estate property consultancy in Mumbai",https://azrealtors.in/,099876 20584,"Office No 48, Ground Floor, 5RHP+JF8 Evershine Mall, New Link Rd",4.9,azrealtor25@gmail.com
real estate agents,mumbai,Real Estate Consultant - Abbas Ali Arif,https://bio.link/abbasaliarif,090223 28752,"7th floor, office, Navjivan commercial premises society, 21, Lamington Rd, opposite Vodafone Gallery",4.9,
real estate agents,mumbai,Dream Properties,http://dreamhouseproperties.in/,095944 95942,"G4/G5 , Kalamandir, Off, Nehru Rd, behind dubashi playground, near petrol pump",4.8,dreamhouseproperties007@gmail.com
real estate agents,mumbai,"True Space Advisory, Rachit Vora- Top And Best Real Estate Agents/ Brokers in Mumbai",http://www.truespace.co.in/,073030 30455,"Office no.1, Shatrunjaygiri",4.9,
real estate agents,noida,Property Mart | Top Property Dealer In Noida,http://www.thepropmart.com/,076692 41525,"media club floor, 429, STPI, Block-2, 2nd Floor, Ganga Shopping Complex on",4.7,contact@thepropmart.com;marketing@thepropmart.com;bootstrap-icons@1.11.3
real estate agents,noida,GUPTAAJI PROPERTIES,https://guptajiproperties.com/contact.php,072177 73421,BLK6 1st Floor,4.8,
real estate agents,noida,Avenue Properties,,,"Shop No 27, Aims Golf, Avenue 1",4.9,
real estate agents,noida,"Sumiram Sai Realtors - Commercial Property, Real Estate Agency in Noida/ Greater Noida",https://sumiramsairealtors.com/,072931 00100,"G-192, Ground Floor",4.7,
real estate agents,noida,Hindustan Buildwell - Real Estate Consultant | Property Dealer in Noida Sector-107,https://www.hindustanbuildwell.com/,098100 70711,"The Courtyard, 45, Maharishi Ashram Rd",5.0,
real estate agents,noida,Mr Propadvisor - Best Property Dealers in Noida,http://www.mrpropadvisor.com/,097189 98881,,4.9,mrpropadvisor@gmail.com;uday@mrpropadvisor.com
real estate agents,noida,ARORAA REAL ESTATE,https://aroraarealestate.in/,099991 11018,"Near Paras Commercial - 2 Bhutani Alphathum, Sector 90, Noida, Uttar Pradesh 201304",4.6,bootstrap@5.3.2;info@aroraarealestate.in;info@aroraarealestate.ae
real estate agents,noida,cozy homes 'A Real Estate' Firm,,098110 18019,"Shop # 135, GF, Jaipuria Plaza, opposite DPS school",4.7,
real estate agents,noida,Sameer Properties,,098914 93581,"1st Floor Shop No. 10, H-169",4.8,
real estate agents,noida,Ganesham Real Estate Agency.,,,"Flat no -504, Tower 25",4.3,
real estate agents,noida,Reliable Homes,http://reliablehomesnoida.in/,080 6506 8704,"Tower C, Spectrum Mall, Shop no. 20k, 2nd Floor",5.0,
real estate agents,noida,Square Foot Realtors,https://www.squarefootrealtor.in/,098181 88353,,4.9,
real estate agents,noida,PARIVAR REALTORS,http://www.parivar.realtors.com/,,"Gate No:- 2, Mahagun Moderne, near Facility office",5.0,
real estate agents,noida,Jenika Ventures Pvt Ltd,https://www.jenikaventures.com/,099995 70772,"2nd Floor, Tower-1, Assotech Business Cresterra, Office No, 203-205",4.9,
real estate agents,noida,Abhinay Realty--Property Dealer Noida,https://abhinayrealty.in/,081304 78521,,5.0,abhinayrealty2026@gmail.com;bootstrap@5.3.2
real estate agents,noida,Explore Your Property ( EYP ),https://youtube.com/@ExploreyourProperty333,072061 65093,"Office no. 501 , 4th floor, homestop @ 104",4.9,wght@300..900
real estate agents,noida,NOIDA PROPERTIES,,083680 71245,C-10,4.8,
